variavel_original;importance;qtd_features
relationship_group;0,17927250009816287;3
relationship;0,13142890048453035;6
marital_status;0,11826993203089228;7
education_num;0,1045860273243028;1
occupation;0,0790405458361234;15
capital_gain;0,06715770950309956;1
age;0,0654948176500505;1
capital_gain_log;0,0587954929340385;1
hours_per_week;0,04143336692166935;1
hours_group;0,026909642215006777;4
sex;0,024599410610606026;2
fnlwgt;0,024353249805885702;1
capital_loss;0,02255351209393668;1
workclass;0,019749941692934016;9
capital_loss_log;0,018127530267964306;1
native_country;0,01126924477482282;42
race;0,00695817575597412;5
