posicao;experimento;estrategia;modelo;accuracy;precision;recall;f1_score;roc_auc
1;Experimento 5 - KDD Dataset Unificado;holdout_80_20;RandomForest;0,8279217453651542;0,5978552278820375;0,858793324775353;0,7049525816649105;0,92243391103734
2;Experimento 3 - treino adult.csv / teste adult-test.csv;teste_cruzado;RandomForest;0,8291349225854018;0,5974382433668801;0,8489339573582944;0,7013210181505746;0,9191409176881958
3;Experimento 4 - treino adult-test.csv / teste adult.csv;teste_cruzado;RandomForest;0,8216184651320035;0,5912474217558963;0,8410511544839903;0,6943654555028963;0,9173123153178339
4;Experimento 1 - Holdout 80/20 adult-test.csv;holdout_80_20;RandomForest;0,8203316953316954;0,5834845735027223;0,8361508452535761;0,6873329770176376;0,9162816999502745
5;Experimento 2 - Holdout 80/20 adult.csv;holdout_80_20;RandomForest;0,8263675476336816;0,6024321796071095;0,8214285714285714;0,6950890447922288;0,9111840814260925
6;Experimento 4 - treino adult-test.csv / teste adult.csv;teste_cruzado;LogisticRegression;0,8111995574269294;0,5730279021701687;0,8488327592805205;0,6841807619145546;0,9099175573779839
7;Experimento 5 - KDD Dataset Unificado;holdout_80_20;LogisticRegression;0,814503738604937;0,576231884057971;0,85066324347454;0,6870571971660618;0,9095880380040706
8;Experimento 3 - treino adult.csv / teste adult-test.csv;teste_cruzado;LogisticRegression;0,8121774391742442;0,5695889927676839;0,8395735829433177;0,6787178139779296;0,9087352303424396
9;Experimento 1 - Holdout 80/20 adult-test.csv;holdout_80_20;LogisticRegression;0,8114250614250614;0,5668679896462467;0,8543563068920677;0,6815352697095436;0,908192039437324
10;Experimento 2 - Holdout 80/20 adult.csv;holdout_80_20;LogisticRegression;0,8149969268592502;0,5811051693404634;0,8316326530612245;0,6841552990556139;0,9054360230934478
